0.000	0.946	-1.395
0.001	0.936	-1.398
0.002	0.943	-1.395
0.003	0.936	-1.406
0.004	0.933	-1.401
0.005	0.933	-1.408
0.006	0.933	-1.411
0.007	0.931	-1.416
0.008	0.936	-1.421
0.009	0.931	-1.416
0.010	0.936	-1.411
0.011	0.936	-1.411
0.012	0.933	-1.413
0.013	0.938	-1.406
0.014	0.936	-1.416
0.015	0.936	-1.408
0.016	0.931	-1.411
0.017	0.928	-1.421
0.018	0.923	-1.418
0.019	0.928	-1.421
0.020	0.923	-1.421
0.021	0.920	-1.429
0.022	0.920	-1.426
0.023	0.920	-1.429
0.024	0.923	-1.431
0.025	0.915	-1.434
0.026	0.915	-1.439
0.027	0.920	-1.436
0.028	0.920	-1.439
0.029	0.920	-1.444
0.030	0.915	-1.439
0.031	0.915	-1.447
0.032	0.926	-1.444
0.033	0.915	-1.447
0.034	0.923	-1.454
0.035	0.920	-1.449
0.036	0.920	-1.457
0.037	0.920	-1.454
0.038	0.918	-1.464
0.039	0.915	-1.462
0.040	0.915	-1.472
0.041	0.913	-1.467
0.042	0.908	-1.470
0.043	0.913	-1.475
0.044	0.908	-1.485
0.045	0.910	-1.487
0.046	0.905	-1.498
0.047	0.905	-1.503
0.048	0.900	-1.515
0.049	0.903	-1.508
0.050	0.900	-1.523
0.051	0.903	-1.521
0.052	0.900	-1.533
0.053	0.897	-1.549
0.054	0.892	-1.551
0.055	0.890	-1.561
0.056	0.892	-1.567
0.057	0.890	-1.577
0.058	0.887	-1.577
0.059	0.887	-1.597
0.060	0.890	-1.602
0.061	0.885	-1.615
0.062	0.890	-1.610
0.063	0.890	-1.628
0.064	0.890	-1.630
0.065	0.887	-1.641
0.066	0.887	-1.651
0.067	0.892	-1.656
0.068	0.890	-1.661
0.069	0.890	-1.666
0.070	0.887	-1.684
0.071	0.887	-1.681
0.072	0.885	-1.694
0.073	0.887	-1.702
0.074	0.882	-1.710
0.075	0.880	-1.722
0.076	0.880	-1.727
0.077	0.880	-1.740
0.078	0.872	-1.750
0.079	0.875	-1.755
0.080	0.872	-1.761
0.081	0.869	-1.776
0.082	0.867	-1.778
0.083	0.869	-1.794
0.084	0.872	-1.799
0.085	0.875	-1.809
0.086	0.872	-1.819
0.087	0.869	-1.817
0.088	0.872	-1.819
0.089	0.875	-1.830
0.090	0.875	-1.832
0.091	0.875	-1.847
0.092	0.872	-1.847
0.093	0.867	-1.855
0.094	0.872	-1.858
0.095	0.864	-1.865
0.096	0.864	-1.881
0.097	0.864	-1.878
0.098	0.862	-1.896
0.099	0.854	-1.898
0.100	0.862	-1.906
0.101	0.854	-1.911
0.102	0.854	-1.921
0.103	0.859	-1.932
0.104	0.854	-1.934
0.105	0.854	-1.939
0.106	0.854	-1.944
0.107	0.854	-1.957
0.108	0.859	-1.957
0.109	0.854	-1.965
0.110	0.857	-1.970
0.111	0.857	-1.975
0.112	0.859	-1.983
0.113	0.857	-1.985
0.114	0.854	-1.998
0.115	0.857	-1.998
0.116	0.849	-2.006
0.117	0.854	-2.008
0.118	0.844	-2.016
0.119	0.852	-2.021
0.120	0.844	-2.029
0.121	0.846	-2.036
0.122	0.844	-2.039
0.123	0.844	-2.052
0.124	0.844	-2.057
0.125	0.834	-2.062
0.126	0.839	-2.080
0.127	0.839	-2.077
0.128	0.831	-2.090
0.129	0.836	-2.090
0.130	0.834	-2.098
0.131	0.839	-2.105
0.132	0.834	-2.113
0.133	0.839	-2.121
0.134	0.836	-2.126
0.135	0.834	-2.131
0.136	0.836	-2.133
0.137	0.839	-2.138
0.138	0.839	-2.141
0.139	0.834	-2.154
0.140	0.839	-2.156
0.141	0.834	-2.161
0.142	0.839	-2.172
0.143	0.836	-2.177
0.144	0.836	-2.184
0.145	0.836	-2.187
0.146	0.836	-2.184
0.147	0.836	-2.200
0.148	0.834	-2.195
0.149	0.829	-2.207
0.150	0.834	-2.207
0.151	0.826	-2.215
0.152	0.829	-2.225
0.153	0.826	-2.223
0.154	0.826	-2.235
0.155	0.823	-2.241
0.156	0.826	-2.235
0.157	0.826	-2.246
0.158	0.826	-2.253
0.159	0.818	-2.258
0.160	0.816	-2.266
0.161	0.818	-2.264
0.162	0.816	-2.271
0.163	0.821	-2.281
0.164	0.818	-2.287
0.165	0.821	-2.289
0.166	0.821	-2.294
0.167	0.821	-2.302
0.168	0.818	-2.294
0.169	0.823	-2.304
0.170	0.821	-2.307
0.171	0.818	-2.317
0.172	0.821	-2.315
0.173	0.823	-2.325
0.174	0.816	-2.322
0.175	0.823	-2.325
0.176	0.818	-2.332
0.177	0.823	-2.338
0.178	0.816	-2.340
0.179	0.823	-2.348
0.180	0.821	-2.350
0.181	0.823	-2.353
0.182	0.821	-2.361
0.183	0.821	-2.363
